year,week,count,sum
2011,40,79,79
2011,41,51,130
2011,42,16,146
2011,43,17,163
2011,44,8,171
2011,45,8,179
2011,46,10,189
2011,47,8,197
2011,48,5,202
2012,1,5,207
2012,2,5,212
2012,3,5,217
2012,4,5,222
2012,5,8,230
2012,6,9,239
2012,7,6,245
2012,8,6,251
2012,9,6,257
2012,10,1,258
2012,11,5,263
2012,12,3,266
2012,13,3,269
2012,14,1,270
2012,15,4,274
2012,16,3,277
2012,17,6,283
2012,18,9,292
2012,19,4,296
2012,20,3,299
2012,21,2,301
2012,22,5,306
2012,23,3,309
2012,24,4,313
2012,25,2,315
2012,26,5,320
2012,27,4,324
2012,28,7,331
2012,29,10,341
2012,30,3,344
2012,31,5,349
2012,32,4,353
2012,33,7,360
2012,34,5,365
2012,35,4,369
2012,36,11,380
2012,37,7,387
2012,38,4,391
2012,39,6,397
2012,40,5,402
2012,41,5,407
2012,42,4,411
2012,43,7,418
2012,44,4,422
2012,45,12,434
2012,46,4,438
2012,47,9,447
2012,48,10,457
2013,1,4,461
2013,2,9,470
2013,3,13,483
2013,4,0,483
2013,5,12,495
2013,6,8,503
2013,7,10,513
2013,8,7,520
2013,9,8,528
2013,10,5,533
2013,11,9,542
2013,12,9,551
2013,13,14,565
2013,14,3,568
2013,15,1,569
2013,16,14,583
2013,17,4,587
2013,18,6,593
2013,19,6,599
2013,20,6,605
2013,21,14,619
2013,22,9,628
2013,23,3,631
2013,24,6,637
2013,25,5,642
2013,26,6,648
2013,27,6,654
2013,28,12,666
2013,29,17,683
2013,30,8,691
2013,31,12,703
2013,32,7,710
2013,33,10,720
2013,34,4,724
2013,35,3,727
2013,36,5,732
2013,37,6,738
2013,38,12,750
2013,39,9,759
2013,40,16,775
2013,41,17,792
2013,42,7,799
2013,43,10,809
2013,44,5,814
2013,45,9,823
2013,46,10,833
2013,47,12,845
2013,48,4,849
2014,1,4,853
2014,2,8,861
2014,3,8,869
2014,4,14,883
2014,5,17,900
2014,6,10,910
2014,7,4,914
2014,8,10,924
2014,9,17,941
2014,10,7,948
2014,11,15,963
2014,12,9,972
2014,13,19,991
2014,14,13,1004
2014,15,10,1014
2014,16,8,1022
2014,17,11,1033
2014,18,11,1044
2014,19,10,1054
2014,20,11,1065
2014,21,12,1077
2014,22,13,1090
2014,23,9,1099
2014,24,21,1120
2014,25,10,1130
2014,26,8,1138
2014,27,7,1145
2014,28,7,1152
2014,29,12,1164
2014,30,7,1171
2014,31,7,1178
2014,32,8,1186
2014,33,14,1200
2014,34,14,1214
2014,35,18,1232
2014,36,7,1239
2014,37,13,1252
2014,38,10,1262
2014,39,10,1272
2014,40,14,1286
2014,41,7,1293
2014,42,8,1301
2014,43,7,1308
2014,44,18,1326
2014,45,10,1336
2014,46,6,1342
2014,47,8,1350
2014,48,5,1355
2015,1,3,1358
2015,2,11,1369
2015,3,4,1373
2015,4,8,1381
2015,5,12,1393
2015,6,12,1405
2015,7,9,1414
2015,8,11,1425
2015,9,10,1435
2015,10,11,1446
2015,11,7,1453
2015,12,13,1466
2015,13,13,1479
2015,14,6,1485
2015,15,12,1497
2015,16,6,1503
2015,17,13,1516
2015,18,8,1524
2015,19,10,1534
2015,20,28,1562
2015,21,37,1599
2015,22,8,1607
2015,23,16,1623
2015,24,16,1639
2015,25,12,1651
2015,26,12,1663
2015,27,18,1681
2015,28,10,1691
2015,29,15,1706
2015,30,9,1715
2015,31,9,1724
2015,32,12,1736
2015,33,25,1761
2015,34,14,1775
2015,35,8,1783
2015,36,13,1796
2015,37,15,1811
2015,38,8,1819
2015,39,7,1826
2015,40,28,1854
2015,41,30,1884
2015,42,17,1901
2015,43,18,1919
2015,44,23,1942
2015,45,14,1956
2015,46,13,1969
2015,47,13,1982
2015,48,7,1989
2016,1,11,2000
2016,2,10,2010
2016,3,11,2021
2016,4,13,2034
2016,5,16,2050
2016,6,14,2064
2016,7,7,2071
2016,8,12,2083
2016,9,14,2097
2016,10,17,2114
2016,11,14,2128
2016,12,25,2153
2016,13,20,2173
2016,14,22,2195
2016,15,20,2215
2016,16,20,2235
2016,17,24,2259
2016,18,16,2275
2016,19,19,2294
2016,20,7,2301
2016,21,17,2318
2016,22,16,2334
2016,23,16,2350
2016,24,29,2379
2016,25,17,2396
2016,26,18,2414
2016,27,15,2429
2016,28,14,2443
2016,29,22,2465
2016,30,13,2478
2016,31,19,2497
2016,32,17,2514
2016,33,10,2524
2016,34,18,2542