year,week,count,sum
2015,10,15,15
2015,11,12,27
2015,12,23,50
2015,13,20,70
2015,14,17,87
2015,15,10,97
2015,16,28,125
2015,17,28,153
2015,18,17,170
2015,19,14,184
2015,20,10,194
2015,21,18,212
2015,22,6,218
2015,23,11,229
2015,24,9,238
2015,25,14,252
2015,26,6,258
2015,27,5,263
2015,28,40,303
2015,29,24,327
2015,30,12,339
2015,31,14,353
2015,32,18,371
2015,33,25,396
2015,34,15,411
2015,35,15,426
2015,36,15,441
2015,37,18,459
2015,38,11,470
2015,39,17,487
2015,40,11,498
2015,41,33,531
2015,42,15,546
2015,43,20,566
2015,44,16,582
2015,45,28,610
2015,46,22,632
2015,47,15,647
2015,48,13,660
2016,1,8,668
2016,2,18,686
2016,3,12,698
2016,4,21,719
2016,5,21,740
2016,6,18,758
2016,7,16,774
2016,8,26,800
2016,9,21,821
2016,10,15,836
2016,11,13,849
2016,12,11,860
2016,13,27,887
2016,14,20,907
2016,15,15,922
2016,16,13,935
2016,17,26,961
2016,18,11,972
2016,19,15,987
2016,20,8,995
2016,21,19,1014
2016,22,14,1028
2016,23,18,1046
2016,24,13,1059
2016,25,26,1085
2016,26,17,1102
2016,27,7,1109
2016,28,18,1127
2016,29,29,1156
2016,30,11,1167
2016,31,17,1184
2016,32,16,1200
2016,33,13,1213
2016,34,14,1227