year,week,count,sum
2011,32,2599,2599
2011,33,10,2609
2011,34,14,2623
2011,35,11,2634
2011,36,10,2644
2011,37,12,2656
2011,38,11,2667
2011,39,9,2676
2011,40,8,2684
2011,41,14,2698
2011,42,12,2710
2011,43,9,2719
2011,44,13,2732
2011,45,11,2743
2011,46,5,2748
2011,47,5,2753
2011,48,3,2756
2012,1,6,2762
2012,2,7,2769
2012,3,8,2777
2012,4,1,2778
2012,5,11,2789
2012,6,7,2796
2012,7,5,2801
2012,8,6,2807
2012,9,5,2812
2012,10,7,2819
2012,11,4,2823
2012,12,6,2829
2012,13,5,2834
2012,14,9,2843
2012,15,6,2849
2012,16,1,2850
2012,17,6,2856
2012,18,3,2859
2012,19,4,2863
2012,20,9,2872
2012,21,4,2876
2012,22,9,2885
2012,23,2,2887
2012,24,5,2892
2012,25,4,2896
2012,26,3,2899
2012,27,4,2903
2012,28,4,2907
2012,29,3,2910
2012,30,3,2913
2012,31,1,2914
2012,32,3,2917
2012,33,5,2922
2012,34,4,2926
2012,35,0,2926
2012,36,1,2927
2012,37,2,2929
2012,38,1,2930
2012,39,1,2931
2012,40,1,2932
2012,41,1,2933
2012,42,1,2934
2012,43,1,2935
2012,44,1,2936
2012,45,0,2936
2012,46,1,2937
2012,47,2,2939
2012,48,2,2941
2013,1,1,2942
2013,2,0,2942
2013,3,0,2942
2013,4,0,2942
2013,5,2,2944
2013,6,16,2960
2013,7,15,2975
2013,8,23,2998
2013,9,35,3033
2013,10,33,3066
2013,11,28,3094
2013,12,24,3118
2013,13,46,3164
2013,14,20,3184
2013,15,29,3213
2013,16,52,3265
2013,17,59,3324
2013,18,30,3354
2013,19,37,3391
2013,20,24,3415
2013,21,35,3450
2013,22,28,3478
2013,23,26,3504
2013,24,21,3525
2013,25,39,3564
2013,26,25,3589
2013,27,32,3621
2013,28,32,3653
2013,29,47,3700
2013,30,34,3734
2013,31,40,3774
2013,32,38,3812
2013,33,48,3860
2013,34,26,3886
2013,35,49,3935
2013,36,33,3968
2013,37,50,4018
2013,38,65,4083
2013,39,40,4123
2013,40,23,4146
2013,41,49,4195
2013,42,25,4220
2013,43,45,4265
2013,44,41,4306
2013,45,39,4345
2013,46,43,4388
2013,47,41,4429
2013,48,21,4450
2014,1,18,4468
2014,2,35,4503
2014,3,42,4545
2014,4,31,4576
2014,5,67,4643
2014,6,47,4690
2014,7,32,4722
2014,8,33,4755
2014,9,40,4795
2014,10,34,4829
2014,11,82,4911
2014,12,109,5020
2014,13,95,5115
2014,14,50,5165
2014,15,40,5205
2014,16,44,5249
2014,17,66,5315
2014,18,54,5369
2014,19,44,5413
2014,20,35,5448
2014,21,67,5515
2014,22,40,5555
2014,23,36,5591
2014,24,38,5629
2014,25,44,5673
2014,26,40,5713
2014,27,37,5750
2014,28,45,5795
2014,29,53,5848
2014,30,45,5893
2014,31,88,5981
2014,32,56,6037
2014,33,72,6109
2014,34,27,6136
2014,35,41,6177
2014,36,30,6207
2014,37,44,6251
2014,38,65,6316
2014,39,49,6365
2014,40,35,6400
2014,41,70,6470
2014,42,37,6507
2014,43,56,6563
2014,44,39,6602
2014,45,41,6643
2014,46,47,6690
2014,47,38,6728
2014,48,32,6760
2015,1,41,6801
2015,2,63,6864
2015,3,58,6922
2015,4,43,6965
2015,5,81,7046
2015,6,52,7098
2015,7,63,7161
2015,8,39,7200
2015,9,44,7244
2015,10,33,7277
2015,11,36,7313
2015,12,31,7344
2015,13,58,7402
2015,14,35,7437
2015,15,30,7467
2015,16,28,7495
2015,17,48,7543
2015,18,35,7578
2015,19,44,7622
2015,20,90,7712
2015,21,172,7884
2015,22,60,7944
2015,23,48,7992
2015,24,46,8038
2015,25,51,8089
2015,26,35,8124
2015,27,33,8157
2015,28,19,8176
2015,29,56,8232
2015,30,39,8271
2015,31,41,8312
2015,32,41,8353
2015,33,112,8465
2015,34,45,8510
2015,35,33,8543
2015,36,37,8580
2015,37,56,8636
2015,38,56,8692
2015,39,49,8741
2015,40,111,8852
2015,41,114,8966
2015,42,48,9014
2015,43,52,9066
2015,44,77,9143
2015,45,62,9205
2015,46,58,9263
2015,47,40,9303
2015,48,41,9344
2016,1,27,9371
2016,2,49,9420
2016,3,36,9456
2016,4,57,9513
2016,5,59,9572
2016,6,46,9618
2016,7,43,9661
2016,8,37,9698
2016,9,57,9755
2016,10,49,9804
2016,11,60,9864
2016,12,75,9939
2016,13,79,10018
2016,14,51,10069
2016,15,65,10134
2016,16,63,10197
2016,17,72,10269
2016,18,41,10310
2016,19,46,10356
2016,20,41,10397
2016,21,60,10457
2016,22,42,10499
2016,23,41,10540
2016,24,45,10585
2016,25,53,10638
2016,26,55,10693
2016,27,40,10733
2016,28,37,10770
2016,29,84,10854
2016,30,45,10899
2016,31,65,10964
2016,32,67,11031
2016,33,55,11086
2016,34,59,11145
2016,35,39,11184
2016,36,48,11232
2016,37,39,11271
2016,38,45,11316
2016,39,41,11357
2016,40,42,11399
2016,41,73,11472
2016,42,36,11508
2016,43,49,11557
2016,44,33,11590
2016,45,51,11641
2016,46,38,11679
2016,47,52,11731
2016,48,29,11760
2017,1,31,11791
2017,2,29,11820
2017,3,45,11865
2017,4,37,11902
2017,5,45,11947
2017,6,45,11992
2017,7,46,12038
2017,8,47,12085
2017,9,53,12138
2017,10,40,12178
2017,11,45,12223
2017,12,34,12257
2017,13,64,12321
2017,14,38,12359
2017,15,37,12396
2017,16,38,12434
2017,17,38,12472
2017,18,44,12516