year,week,count,sum
2011,35,3754,3754
2011,36,29,3783
2011,37,32,3815
2011,38,20,3835
2011,39,22,3857
2011,40,9,3866
2011,41,24,3890
2011,42,25,3915
2011,43,25,3940
2011,44,24,3964
2011,45,20,3984
2011,46,21,4005
2011,47,14,4019
2011,48,8,4027
2012,1,16,4043
2012,2,20,4063
2012,3,21,4084
2012,4,11,4095
2012,5,29,4124
2012,6,22,4146
2012,7,20,4166
2012,8,19,4185
2012,9,14,4199
2012,10,21,4220
2012,11,30,4250
2012,12,11,4261
2012,13,18,4279
2012,14,7,4286
2012,15,12,4298
2012,16,10,4308
2012,17,14,4322
2012,18,12,4334
2012,19,16,4350
2012,20,13,4363
2012,21,17,4380
2012,22,13,4393
2012,23,14,4407
2012,24,9,4416
2012,25,12,4428
2012,26,18,4446
2012,27,19,4465
2012,28,8,4473
2012,29,10,4483
2012,30,6,4489
2012,31,7,4496
2012,32,4,4500
2012,33,10,4510
2012,34,6,4516
2012,35,4,4520
2012,36,2,4522
2012,37,5,4527
2012,38,4,4531
2012,39,4,4535
2012,40,9,4544
2012,41,10,4554
2012,42,3,4557
2012,43,6,4563
2012,44,5,4568
2012,45,2,4570
2012,46,3,4573
2012,47,6,4579
2012,48,4,4583
2013,1,3,4586
2013,2,6,4592
2013,3,3,4595
2013,4,2,4597
2013,5,4,4601
2013,6,34,4635
2013,7,51,4686
2013,8,38,4724
2013,9,60,4784
2013,10,52,4836
2013,11,85,4921
2013,12,38,4959
2013,13,84,5043
2013,14,47,5090
2013,15,50,5140
2013,16,47,5187
2013,17,58,5245
2013,18,47,5292
2013,19,57,5349
2013,20,37,5386
2013,21,81,5467
2013,22,47,5514
2013,23,50,5564
2013,24,51,5615
2013,25,67,5682
2013,26,58,5740
2013,27,61,5801
2013,28,47,5848
2013,29,86,5934
2013,30,44,5978
2013,31,50,6028
2013,32,45,6073
2013,33,79,6152
2013,34,49,6201
2013,35,58,6259
2013,36,72,6331
2013,37,49,6380
2013,38,58,6438
2013,39,47,6485
2013,40,70,6555
2013,41,93,6648
2013,42,58,6706
2013,43,64,6770
2013,44,53,6823
2013,45,73,6896
2013,46,49,6945
2013,47,57,7002
2013,48,68,7070
2014,1,32,7102
2014,2,48,7150
2014,3,49,7199
2014,4,48,7247
2014,5,45,7292
2014,6,34,7326
2014,7,22,7348
2014,8,22,7370
2014,9,20,7390
2014,10,30,7420
2014,11,24,7444
2014,12,17,7461
2014,13,34,7495
2014,14,13,7508
2014,15,22,7530
2014,16,13,7543
2014,17,22,7565
2014,18,20,7585
2014,19,15,7600
2014,20,19,7619
2014,21,27,7646
2014,22,17,7663
2014,23,15,7678
2014,24,16,7694
2014,25,12,7706
2014,26,18,7724
2014,27,14,7738
2014,28,10,7748
2014,29,24,7772
2014,30,11,7783
2014,31,6,7789
2014,32,9,7798
2014,33,20,7818
2014,34,8,7826
2014,35,19,7845
2014,36,13,7858
2014,37,14,7872
2014,38,16,7888
2014,39,8,7896
2014,40,14,7910
2014,41,17,7927
2014,42,15,7942
2014,43,9,7951
2014,44,15,7966
2014,45,16,7982
2014,46,16,7998
2014,47,11,8009
2014,48,9,8018
2015,1,10,8028
2015,2,15,8043
2015,3,8,8051
2015,4,13,8064
2015,5,9,8073
2015,6,16,8089
2015,7,5,8094
2015,8,3,8097
2015,9,11,8108
2015,10,10,8118
2015,11,12,8130
2015,12,14,8144
2015,13,12,8156
2015,14,10,8166
2015,15,11,8177
2015,16,17,8194
2015,17,10,8204
2015,18,10,8214
2015,19,6,8220
2015,20,11,8231
2015,21,9,8240
2015,22,11,8251
2015,23,16,8267
2015,24,3,8270
2015,25,9,8279
2015,26,5,8284
2015,27,9,8293
2015,28,6,8299
2015,29,13,8312
2015,30,8,8320
2015,31,10,8330
2015,32,12,8342
2015,33,9,8351
2015,34,5,8356
2015,35,15,8371
2015,36,7,8378
2015,37,7,8385
2015,38,11,8396
2015,39,7,8403
2015,40,13,8416
2015,41,11,8427
2015,42,11,8438
2015,43,10,8448
2015,44,12,8460
2015,45,3,8463
2015,46,5,8468
2015,47,2,8470
2015,48,9,8479
2016,1,3,8482
2016,2,6,8488
2016,3,10,8498
2016,4,12,8510
2016,5,10,8520
2016,6,4,8524
2016,7,6,8530
2016,8,5,8535
2016,9,12,8547
2016,10,6,8553
2016,11,6,8559
2016,12,8,8567
2016,13,11,8578
2016,14,5,8583
2016,15,4,8587
2016,16,8,8595
2016,17,3,8598
2016,18,7,8605
2016,19,5,8610
2016,20,5,8615
2016,21,10,8625
2016,22,5,8630
2016,23,4,8634
2016,24,5,8639
2016,25,10,8649
2016,26,6,8655
2016,27,3,8658
2016,28,6,8664
2016,29,7,8671
2016,30,6,8677
2016,31,5,8682
2016,32,10,8692
2016,33,19,8711
2016,34,12,8723
2016,35,6,8729
2016,36,5,8734
2016,37,10,8744
2016,38,6,8750
2016,39,9,8759
2016,40,12,8771
2016,41,9,8780
2016,42,6,8786
2016,43,8,8794
2016,44,3,8797
2016,45,8,8805
2016,46,7,8812
2016,47,6,8818
2016,48,6,8824
2017,1,5,8829
2017,2,7,8836
2017,3,7,8843
2017,4,7,8850
2017,5,5,8855
2017,6,8,8863
2017,7,4,8867
2017,8,6,8873
2017,9,7,8880
2017,10,7,8887
2017,11,9,8896
2017,12,6,8902
2017,13,9,8911
2017,14,9,8920
2017,15,6,8926
2017,16,4,8930
2017,17,8,8938
2017,18,8,8946