year,week,count,sum
2009,53,1031,1031
2010,1,19,1050
2010,2,21,1071
2010,3,30,1101
2010,4,30,1131
2010,5,112,1243
2010,6,80,1323
2010,7,34,1357
2010,8,25,1382
2010,9,20,1402
2010,10,19,1421
2010,11,25,1446
2010,12,30,1476
2010,13,21,1497
2010,14,27,1524
2010,15,17,1541
2010,16,15,1556
2010,17,29,1585
2010,18,26,1611
2010,19,25,1636
2010,20,20,1656
2010,21,28,1684
2010,22,31,1715
2010,23,17,1732
2010,24,25,1757
2010,25,17,1774
2010,26,23,1797
2010,27,22,1819
2010,28,16,1835
2010,29,21,1856
2010,30,27,1883
2010,31,25,1908
2010,32,20,1928
2010,33,23,1951
2010,34,17,1968
2010,35,15,1983
2010,36,15,1998
2010,37,42,2040
2010,38,22,2062
2010,39,22,2084
2010,40,17,2101
2010,41,28,2129
2010,42,27,2156
2010,43,26,2182
2010,44,25,2207
2010,45,26,2233
2010,46,17,2250
2010,47,21,2271
2010,48,24,2295
2010,49,37,2332
2010,50,24,2356
2010,51,12,2368
2010,52,15,2383
2011,1,22,2405
2011,2,21,2426
2011,3,30,2456
2011,4,24,2480
2011,5,26,2506
2011,6,29,2535
2011,7,30,2565
2011,8,31,2596
2011,9,29,2625
2011,10,29,2654
2011,11,20,2674
2011,12,33,2707
2011,13,36,2743
2011,14,25,2768
2011,15,25,2793
2011,16,38,2831
2011,17,37,2868
2011,18,28,2896
2011,19,21,2917
2011,20,24,2941
2011,21,24,2965
2011,22,19,2984
2011,23,20,3004
2011,24,24,3028
2011,25,37,3065
2011,26,27,3092
2011,27,22,3114
2011,28,23,3137
2011,29,22,3159
2011,30,16,3175
2011,31,17,3192
2011,32,26,3218
2011,33,17,3235
2011,34,20,3255
2011,35,23,3278
2011,36,24,3302
2011,37,27,3329
2011,38,21,3350
2011,39,26,3376
2011,40,17,3393
2011,41,23,3416
2011,42,27,3443
2011,43,20,3463
2011,44,19,3482
2011,45,16,3498
2011,46,23,3521
2011,47,17,3538
2011,48,23,3561
2011,49,27,3588
2011,50,25,3613
2011,51,11,3624
2011,52,13,3637
2012,1,24,3661
2012,2,22,3683
2012,3,20,3703
2012,4,21,3724
2012,5,17,3741
2012,6,21,3762
2012,7,13,3775
2012,8,25,3800
2012,9,17,3817
2012,10,20,3837
2012,11,13,3850
2012,12,17,3867
2012,13,18,3885
2012,14,16,3901
2012,15,15,3916
2012,16,15,3931
2012,17,14,3945
2012,18,13,3958
2012,19,8,3966
2012,20,16,3982
2012,21,18,4000
2012,22,11,4011
2012,23,16,4027
2012,24,12,4039
2012,25,13,4052
2012,26,3,4055
2012,27,13,4068
2012,28,12,4080
2012,29,18,4098
2012,30,5,4103
2012,31,11,4114
2012,32,7,4121
2012,33,6,4127
2012,34,7,4134
2012,35,8,4142
2012,36,7,4149
2012,37,7,4156
2012,38,3,4159
2012,39,3,4162
2012,40,0,4162
2012,41,4,4166
2012,42,4,4170
2012,43,5,4175
2012,44,1,4176
2012,45,5,4181
2012,46,1,4182
2012,47,2,4184
2012,48,5,4189
2012,49,0,4189
2012,50,2,4191
2012,51,2,4193
2012,52,1,4194
2013,1,1,4195
2013,2,2,4197
2013,3,2,4199
2013,4,1,4200
2013,5,1,4201
2013,6,1,4202
2013,7,16,4218
2013,8,18,4236
2013,9,25,4261
2013,10,24,4285
2013,11,30,4315
2013,12,25,4340
2013,13,21,4361
2013,14,16,4377
2013,15,38,4415
2013,16,29,4444
2013,17,29,4473
2013,18,17,4490
2013,19,24,4514
2013,20,34,4548
2013,21,27,4575
2013,22,38,4613
2013,23,30,4643
2013,24,86,4729
2013,25,39,4768
2013,26,35,4803
2013,27,26,4829
2013,28,24,4853
2013,29,29,4882
2013,30,80,4962
2013,31,108,5070
2013,32,51,5121
2013,33,38,5159
2013,34,47,5206
2013,35,32,5238
2013,36,34,5272
2013,37,52,5324
2013,38,57,5381
2013,39,40,5421
2013,40,50,5471
2013,41,40,5511
2013,42,48,5559
2013,43,69,5628
2013,44,52,5680
2013,45,49,5729
2013,46,41,5770
2013,47,37,5807
2013,48,35,5842
2013,49,35,5877
2013,50,62,5939
2013,51,227,6166
2013,52,67,6233
2014,1,73,6306
2014,2,62,6368
2014,3,92,6460
2014,4,86,6546
2014,5,90,6636
2014,6,60,6696
2014,7,68,6764
2014,8,68,6832
2014,9,69,6901
2014,10,83,6984
2014,11,53,7037
2014,12,671,7708
2014,13,233,7941
2014,14,98,8039
2014,15,72,8111
2014,16,83,8194
2014,17,91,8285
2014,18,73,8358
2014,19,56,8414
2014,20,40,8454
2014,21,56,8510
2014,22,63,8573
2014,23,50,8623
2014,24,35,8658
2014,25,43,8701
2014,26,37,8738
2014,27,47,8785
2014,28,41,8826
2014,29,37,8863
2014,30,48,8911
2014,31,56,8967
2014,32,46,9013
2014,33,39,9052
2014,34,37,9089
2014,35,30,9119
2014,36,52,9171
2014,37,34,9205
2014,38,50,9255
2014,39,54,9309
2014,40,45,9354
2014,41,50,9404
2014,42,65,9469
2014,43,87,9556
2014,44,60,9616
2014,45,69,9685
2014,46,50,9735
2014,47,73,9808
2014,48,50,9858
2014,49,52,9910
2014,50,57,9967
2014,51,62,10029
2014,52,55,10084
2015,1,68,10152
2015,2,98,10250
2015,3,66,10316
2015,4,58,10374
2015,5,58,10432
2015,6,45,10477
2015,7,53,10530
2015,8,59,10589
2015,9,72,10661
2015,10,50,10711
2015,11,70,10781
2015,12,124,10905
2015,13,105,11010
2015,14,77,11087
2015,15,58,11145
2015,16,42,11187
2015,17,70,11257
2015,18,55,11312
2015,19,50,11362
2015,20,52,11414
2015,21,42,11456
2015,22,43,11499
2015,23,46,11545
2015,24,61,11606
2015,25,39,11645
2015,26,52,11697
2015,27,66,11763
2015,28,41,11804
2015,29,53,11857
2015,30,64,11921
2015,31,46,11967
2015,32,55,12022
2015,33,40,12062
2015,34,43,12105
2015,35,61,12166
2015,36,34,12200
2015,37,35,12235
2015,38,51,12286
2015,39,42,12328
2015,40,45,12373
2015,41,51,12424
2015,42,38,12462
2015,43,35,12497
2015,44,47,12544
2015,45,55,12599
2015,46,43,12642
2015,47,38,12680
2015,48,46,12726
2015,49,49,12775
2015,50,55,12830
2015,51,35,12865
2015,52,39,12904
2015,53,31,12935
2016,1,38,12973
2016,2,48,13021
2016,3,32,13053
2016,4,28,13081
2016,5,25,13106
2016,6,15,13121
2016,7,39,13160
2016,8,32,13192
2016,9,23,13215
2016,10,26,13241
2016,11,29,13270
2016,12,23,13293
2016,13,19,13312
2016,14,21,13333
2016,15,39,13372
2016,16,37,13409
2016,17,26,13435
2016,18,20,13455
2016,19,71,13526
2016,20,34,13560
2016,21,31,13591
2016,22,28,13619
2016,23,37,13656
2016,24,24,13680
2016,25,35,13715
2016,26,28,13743
2016,27,20,13763
2016,28,25,13788
2016,29,34,13822
2016,30,29,13851
2016,31,25,13876
2016,32,26,13902
2016,33,17,13919
2016,34,0,13919
