year,week,count,sum
2011,34,2638,2638
2011,35,9,2647
2011,36,12,2659
2011,37,12,2671
2011,38,11,2682
2011,39,10,2692
2011,40,5,2697
2011,41,11,2708
2011,42,10,2718
2011,43,7,2725
2011,44,13,2738
2011,45,12,2750
2011,46,10,2760
2011,47,15,2775
2011,48,9,2784
2011,49,4,2788
2011,50,3,2791
2011,51,8,2799
2011,52,2,2801
2012,1,7,2808
2012,2,8,2816
2012,3,6,2822
2012,4,4,2826
2012,5,8,2834
2012,6,7,2841
2012,7,5,2846
2012,8,6,2852
2012,9,4,2856
2012,10,4,2860
2012,11,7,2867
2012,12,6,2873
2012,13,5,2878
2012,14,3,2881
2012,15,9,2890
2012,16,5,2895
2012,17,4,2899
2012,18,3,2902
2012,19,3,2905
2012,20,4,2909
2012,21,9,2918
2012,22,2,2920
2012,23,4,2924
2012,24,9,2933
2012,25,5,2938
2012,26,3,2941
2012,27,2,2943
2012,28,5,2948
2012,29,2,2950
2012,30,5,2955
2012,31,2,2957
2012,32,1,2958
2012,33,3,2961
2012,34,3,2964
2012,35,3,2967
2012,36,3,2970
2012,37,3,2973
2012,38,0,2973
2012,39,2,2975
2012,40,1,2976
2012,41,1,2977
2012,42,1,2978
2012,43,1,2979
2012,44,1,2980
2012,45,1,2981
2012,46,1,2982
2012,47,1,2983
2012,48,0,2983
2012,49,1,2984
2012,50,0,2984
2012,51,2,2986
2012,52,2,2988
2013,1,1,2989
2013,2,0,2989
2013,3,0,2989
2013,4,0,2989
2013,5,1,2990
2013,6,5,2995
2013,7,19,3014
2013,8,23,3037
2013,9,26,3063
2013,10,31,3094
2013,11,31,3125
2013,12,30,3155
2013,13,24,3179
2013,14,40,3219
2013,15,19,3238
2013,16,28,3266
2013,17,56,3322
2013,18,48,3370
2013,19,34,3404
2013,20,35,3439
2013,21,27,3466
2013,22,25,3491
2013,23,24,3515
2013,24,26,3541
2013,25,27,3568
2013,26,23,3591
2013,27,33,3624
2013,28,26,3650
2013,29,30,3680
2013,30,34,3714
2013,31,21,3735
2013,32,49,3784
2013,33,36,3820
2013,34,41,3861
2013,35,40,3901
2013,36,26,3927
2013,37,30,3957
2013,38,45,4002
2013,39,33,4035
2013,40,46,4081
2013,41,65,4146
2013,42,39,4185
2013,43,24,4209
2013,44,32,4241
2013,45,31,4272
2013,46,36,4308
2013,47,40,4348
2013,48,42,4390
2013,49,30,4420
2013,50,47,4467
2013,51,34,4501
2013,52,18,4519
2014,1,26,4545
2014,2,30,4575
2014,3,51,4626
2014,4,31,4657
2014,5,38,4695
2014,6,56,4751
2014,7,38,4789
2014,8,29,4818
2014,9,37,4855
2014,10,43,4898
2014,11,67,4965
2014,12,55,5020
2014,13,120,5140
2014,14,66,5206
2014,15,52,5258
2014,16,42,5300
2014,17,46,5346
2014,18,53,5399
2014,19,50,5449
2014,20,54,5503
2014,21,39,5542
2014,22,49,5591
2014,23,34,5625
2014,24,50,5675
2014,25,32,5707
2014,26,37,5744
2014,27,38,5782
2014,28,44,5826
2014,29,36,5862
2014,30,48,5910
2014,31,33,5943
2014,32,43,5986
2014,33,57,6043
2014,34,86,6129
2014,35,52,6181
2014,36,52,6233
2014,37,29,6262
2014,38,39,6301
2014,39,28,6329
2014,40,41,6370
2014,41,55,6425
2014,42,52,6477
2014,43,42,6519
2014,44,36,6555
2014,45,57,6612
2014,46,44,6656
2014,47,48,6704
2014,48,30,6734
2014,49,37,6771
2014,50,47,6818
2014,51,41,6859
2014,52,33,6892
2015,1,39,6931
2015,2,69,7000
2015,3,57,7057
2015,4,49,7106
2015,5,63,7169
2015,6,41,7210
2015,7,60,7270
2015,8,57,7327
2015,9,45,7372
2015,10,39,7411
2015,11,34,7445
2015,12,39,7484
2015,13,31,7515
2015,14,46,7561
2015,15,33,7594
2015,16,34,7628
2015,17,33,7661
2015,18,34,7695
2015,19,40,7735
2015,20,30,7765
2015,21,48,7813
2015,22,97,7910
2015,23,152,8062
2015,24,60,8122
2015,25,49,8171
2015,26,47,8218
2015,27,47,8265
2015,28,36,8301
2015,29,33,8334
2015,30,17,8351
2015,31,37,8388
2015,32,38,8426
2015,33,40,8466
2015,34,41,8507
2015,35,98,8605
2015,36,43,8648
2015,37,46,8694
2015,38,35,8729
2015,39,39,8768
2015,40,49,8817
2015,41,50,8867
2015,42,53,8920
2015,43,67,8987
2015,44,123,9110
2015,45,64,9174
2015,46,56,9230
2015,47,47,9277
2015,48,76,9353
2015,49,55,9408
2015,50,59,9467
2015,51,41,9508
2015,52,42,9550
2015,53,27,9577
2016,1,53,9630
2016,2,39,9669
2016,3,46,9715
2016,4,46,9761
2016,5,51,9812
2016,6,45,9857
2016,7,38,9895
2016,8,45,9940
2016,9,52,9992
2016,10,50,10042
2016,11,62,10104
2016,12,77,10181
2016,13,57,10238
2016,14,48,10286
2016,15,73,10359
2016,16,65,10424
2016,17,64,10488
2016,18,50,10538
2016,19,43,10581
2016,20,51,10632
2016,21,40,10672
2016,22,42,10714
2016,23,48,10762
2016,24,38,10800
2016,25,50,10850
2016,26,43,10893
2016,27,56,10949
2016,28,53,11002
2016,29,27,11029
2016,30,47,11076
2016,31,64,11140
2016,32,60,11200
2016,33,67,11267
2016,34,0,11267
