year,week,count,sum
2015,2,1,1
2015,3,447,448
2015,4,131,579
2015,5,268,847
2015,6,195,1042
2015,7,102,1144
2015,8,58,1202
2015,9,87,1289
2015,10,60,1349
2015,11,63,1412
2015,12,85,1497
2015,13,63,1560
2015,14,58,1618
2015,15,66,1684
2015,16,56,1740
2015,17,167,1907
2015,18,160,2067
2015,19,83,2150
2015,20,58,2208
2015,21,58,2266
2015,22,44,2310
2015,23,44,2354
2015,24,40,2394
2015,25,34,2428
2015,26,41,2469
2015,27,36,2505
2015,28,37,2542
2015,29,57,2599
2015,30,138,2737
2015,31,62,2799
2015,32,69,2868
2015,33,46,2914
2015,34,46,2960
2015,35,49,3009
2015,36,84,3093
2015,37,61,3154
2015,38,45,3199
2015,39,54,3253
2015,40,55,3308
2015,41,63,3371
2015,42,54,3425
2015,43,48,3473
2015,44,59,3532
2015,45,50,3582
2015,46,49,3631
2015,47,68,3699
2015,48,45,3744
2015,49,85,3829
2015,50,78,3907
2015,51,58,3965
2015,52,47,4012
2015,53,56,4068
2016,1,52,4120
2016,2,45,4165
2016,3,56,4221
2016,4,54,4275
2016,5,45,4320
2016,6,36,4356
2016,7,33,4389
2016,8,55,4444
2016,9,69,4513
2016,10,58,4571
2016,11,46,4617
2016,12,44,4661
2016,13,63,4724
2016,14,69,4793
2016,15,67,4860
2016,16,63,4923
2016,17,66,4989
2016,18,44,5033
2016,19,68,5101
2016,20,56,5157
2016,21,48,5205
2016,22,76,5281
2016,23,44,5325
2016,24,258,5583
2016,25,55,5638
2016,26,89,5727
2016,27,65,5792
2016,28,54,5846
2016,29,47,5893
2016,30,47,5940
2016,31,48,5988
2016,32,36,6024
2016,33,48,6072
2016,34,0,6072
