year,week,count,sum
2015,36,1393,1393
2015,37,1268,2661
2015,38,201,2862
2015,39,111,2973
2015,40,81,3054
2015,41,94,3148
2015,42,68,3216
2015,43,26,3242
2015,44,22,3264
2015,45,35,3299
2015,46,24,3323
2015,47,25,3348
2015,48,14,3362
2016,1,15,3377
2016,2,27,3404
2016,3,21,3425
2016,4,14,3439
2016,5,26,3465
2016,6,13,3478
2016,7,28,3506
2016,8,20,3526
2016,9,33,3559
2016,10,25,3584
2016,11,22,3606
2016,12,18,3624
2016,13,18,3642
2016,14,16,3658
2016,15,16,3674
2016,16,16,3690
2016,17,15,3705
2016,18,13,3718
2016,19,10,3728
2016,20,10,3738
2016,21,20,3758
2016,22,8,3766
2016,23,12,3778
2016,24,11,3789
2016,25,8,3797
2016,26,20,3817
2016,27,31,3848
2016,28,15,3863
2016,29,15,3878
2016,30,15,3893
2016,31,11,3904
2016,32,14,3918
2016,33,13,3931
2016,34,17,3948
2016,35,19,3967
2016,36,44,4011
2016,37,44,4055
2016,38,31,4086
2016,39,55,4141
2016,40,19,4160
2016,41,10,4170
2016,42,26,4196
2016,43,20,4216
2016,44,20,4236
2016,45,14,4250
2016,46,9,4259
2016,47,17,4276
2016,48,11,4287
2017,1,10,4297
2017,2,16,4313
2017,3,29,4342
2017,4,13,4355
2017,5,17,4372
2017,6,33,4405
2017,7,12,4417
2017,8,14,4431
2017,9,55,4486
2017,10,31,4517
2017,11,21,4538
2017,12,31,4569
2017,13,37,4606
2017,14,16,4622
2017,15,16,4638
2017,16,19,4657
2017,17,15,4672
2017,18,19,4691